Summary,Description,Issue Type,Priority,Story Points,Epic,Labels,Sprint
"Create project and receive API key","As a user, I can create a project and receive an API key so that I can authenticate my trace ingestion.

Acceptance Criteria:
- User can create a new project with name and description
- API key is generated using secure random bytes
- API key is displayed once upon creation (not retrievable later)
- API key is stored as hashed value in database
- Project appears in user's project list",Story,Highest,5,"[EPIC] Authentication & API Keys","auth,api-key,mvp","Sprint 1"
"Validate API keys on incoming traces","As the ingest service, I can validate API keys on incoming traces so that only authorized requests are processed.

Acceptance Criteria:
- Ingest service extracts API key from Authorization header
- Invalid or missing key returns 401 Unauthorized
- Valid key associates trace with correct project
- Rate limiting per API key (optional)
- Validation is performant (<1ms overhead)",Story,Highest,3,"[EPIC] Authentication & API Keys","auth,ingest,go,mvp","Sprint 1"
"Revoke and regenerate API keys","As a user, I can revoke and regenerate API keys so that I can rotate credentials when needed.

Acceptance Criteria:
- User can revoke existing API key
- Revoked key immediately stops working
- User can generate new API key
- Old key hash is archived for audit
- UI shows key creation/revocation history",Story,High,3,"[EPIC] Authentication & API Keys","auth,api-key,security","Sprint 2"
"View API key usage stats","As a user, I can view my project's API key usage stats so that I can monitor my integration.

Acceptance Criteria:
- Dashboard shows request count per API key
- Shows success vs. error rate
- Shows last used timestamp
- Time range filter (24h, 7d, 30d)",Story,Medium,2,"[EPIC] Authentication & API Keys","auth,dashboard,metrics","Sprint 2"
"View list of projects","As a user, I can see a list of my projects so that I can navigate to each one.

Acceptance Criteria:
- Projects page shows all user's projects
- Each project shows: name, created date, trace count
- Projects are sorted by most recent activity
- Empty state for new users
- Quick actions: view, settings, delete",Story,Highest,3,"[EPIC] Basic Dashboard","dashboard,projects,ui,mvp","Sprint 3"
"View recent traces for a project","As a user, I can view recent traces for a project so that I can see what's happening.

Acceptance Criteria:
- Trace list page with pagination (20 per page)
- Each trace shows: timestamp, name, status, duration, span count
- Color coding for success/error status
- Click to view trace details
- Auto-refresh toggle",Story,Highest,5,"[EPIC] Basic Dashboard","dashboard,traces,ui,mvp","Sprint 3"
"View basic metrics dashboard","As a user, I can see basic metrics (trace count, error rate) so that I can understand system health.

Acceptance Criteria:
- Dashboard cards showing key metrics
- Total traces (24h, 7d, 30d)
- Error rate percentage
- Average latency (P50, P95, P99)
- Token usage summary
- Trend indicators (up/down arrows)",Story,Highest,5,"[EPIC] Basic Dashboard","dashboard,metrics,analytics,mvp","Sprint 4"
"Filter traces by date range","As a user, I can filter traces by date range so that I can investigate specific time periods.

Acceptance Criteria:
- Date range picker component
- Preset options: Last hour, 24h, 7d, 30d, Custom
- Custom range with start and end datetime
- URL reflects selected range (shareable)
- Metrics update based on filter",Story,High,3,"[EPIC] Basic Dashboard","dashboard,filters,ui","Sprint 4"
"View trace span hierarchy (waterfall)","As a user, I can view a trace's span hierarchy in a waterfall view so that I can understand the execution flow.

Acceptance Criteria:
- Visual tree showing parent-child span relationships
- Timeline bar showing duration of each span
- Span name, type, and status visible
- Zoom and pan controls
- Collapsible span groups
- Color coding by span type (LLM, tool, chain)",Story,Highest,8,"[EPIC] Trace Visualization","visualization,waterfall,ui,mvp","Sprint 5"
"View span details panel","As a user, I can see span details (tokens, latency, model) so that I can debug specific operations.

Acceptance Criteria:
- Click span to open detail panel
- Shows: duration, start time, span type
- Shows: model name, provider
- Shows: token counts (input, output, total)
- Shows: custom attributes/metadata
- Copy button for values",Story,High,5,"[EPIC] Trace Visualization","visualization,spans,ui,mvp","Sprint 5"
"View span input/output content","As a user, I can view input/output of each span so that I can see what was sent and received.

Acceptance Criteria:
- Collapsible input section
- Collapsible output section
- JSON syntax highlighting
- Long text truncation with expand
- Copy to clipboard button
- Search within content",Story,High,5,"[EPIC] Trace Visualization","visualization,spans,content,mvp","Sprint 6"
"View error details on failed spans","As a user, I can see error details on failed spans so that I can diagnose issues.

Acceptance Criteria:
- Red highlight on error spans
- Error icon in waterfall view
- Error message displayed prominently
- Stack trace if available
- Error type/code shown
- Link to related logs (future)",Story,High,3,"[EPIC] Trace Visualization","visualization,errors,debugging","Sprint 6"
"Install SDK via npm","As a developer, I can install the SDK via npm so that I can add it to my project.

Acceptance Criteria:
- Package published to npm as @Ducsigr/sdk
- npm install @Ducsigr/sdk works
- TypeScript types included
- ESM and CJS builds
- Minimal dependencies
- Package size < 50KB",Story,Highest,2,"[EPIC] TypeScript SDK","sdk,npm,typescript","Sprint 7"
"Initialize SDK with API key","As a developer, I can initialize the SDK with my API key so that traces are authenticated.

Acceptance Criteria:
- Ducsigr.init({ apiKey }) configures client
- Environment variable fallback (Ducsigr_API_KEY)
- Validates API key format
- Configurable endpoint URL
- Graceful handling of missing key",Story,Highest,3,"[EPIC] TypeScript SDK","sdk,init,config","Sprint 7"
"Create traces and spans manually","As a developer, I can create traces and spans programmatically so that I can instrument custom code.

Acceptance Criteria:
- startTrace({ name }) returns trace object
- trace.startSpan({ name }) returns span
- span.end() completes the span
- trace.end() sends to server
- Nested spans supported
- Attributes can be added",Story,Highest,5,"[EPIC] TypeScript SDK","sdk,tracing,api","Sprint 7"
"Auto-trace OpenAI/Anthropic calls","As a developer, I can wrap OpenAI/Anthropic clients for automatic tracing so that LLM calls are captured.

Acceptance Criteria:
- wrapOpenAI(client) returns instrumented client
- wrapAnthropic(client) returns instrumented client
- All API methods traced automatically
- Token usage captured
- Model name captured
- Streaming responses supported
- Error handling preserved",Story,Highest,8,"[EPIC] TypeScript SDK","sdk,openai,anthropic,auto-instrumentation","Sprint 8"
"SDK documentation and examples","As a developer, I can read SDK documentation so that I can integrate quickly.

Acceptance Criteria:
- README with quick start guide
- API reference documentation
- Code examples for common use cases
- TypeScript examples
- Troubleshooting section
- Published to docs site",Story,High,3,"[EPIC] TypeScript SDK","sdk,docs,developer-experience","Sprint 8"
"Install Python SDK via pip","As a Python developer, I can install the SDK via pip so that I can add it to my project.

Acceptance Criteria:
- Package published to PyPI as Ducsigr
- pip install Ducsigr works
- Python 3.9+ supported
- Type hints included (py.typed)
- Minimal dependencies
- Works with virtualenv, poetry, conda",Story,Highest,2,"[EPIC] Python SDK","sdk,pip,python","Sprint 9"
"Initialize Python SDK with API key","As a Python developer, I can initialize the SDK with my API key so that traces are authenticated.

Acceptance Criteria:
- Ducsigr.init(api_key=...) configures client
- Environment variable fallback (Ducsigr_API_KEY)
- Validates API key format
- Configurable endpoint URL
- Context manager support",Story,Highest,3,"[EPIC] Python SDK","sdk,python,init","Sprint 9"
"Create traces and spans in Python","As a Python developer, I can create traces and spans programmatically so that I can instrument custom code.

Acceptance Criteria:
- start_trace(name=...) returns trace object
- trace.start_span(name=...) returns span
- span.end() completes the span
- trace.end() sends to server
- Context manager support (with trace.span(...))
- Async/await support",Story,Highest,5,"[EPIC] Python SDK","sdk,python,tracing","Sprint 9"
"Python decorator for tracing","As a Python developer, I can use decorators for tracing so that instrumentation is clean.

Acceptance Criteria:
- @Ducsigr.trace decorator for functions
- @Ducsigr.span decorator for nested spans
- Works with sync and async functions
- Captures function arguments (configurable)
- Captures return values (configurable)
- Exception tracking",Story,High,3,"[EPIC] Python SDK","sdk,python,decorators","Sprint 10"
"Auto-trace OpenAI Python SDK","As a Python developer, I can wrap OpenAI client for automatic tracing so that LLM calls are captured.

Acceptance Criteria:
- wrap_openai(client) returns instrumented client
- chat.completions.create traced automatically
- Streaming responses supported
- Token usage captured from response
- Model name captured
- Error handling preserved",Story,Highest,5,"[EPIC] Python SDK","sdk,python,openai,auto-instrumentation","Sprint 10"
"Auto-trace Anthropic Python SDK","As a Python developer, I can wrap Anthropic client for automatic tracing so that Claude calls are captured.

Acceptance Criteria:
- wrap_anthropic(client) returns instrumented client
- messages.create traced automatically
- Streaming responses supported
- Token usage captured
- Model name captured
- Error handling preserved",Story,High,5,"[EPIC] Python SDK","sdk,python,anthropic,auto-instrumentation","Sprint 10"
"Auto-trace LangChain","As a Python developer, I can integrate with LangChain for automatic tracing so that chains and agents are captured.

Acceptance Criteria:
- DucsigrCallbackHandler for LangChain
- Traces LLM calls, chains, tools, agents
- Captures intermediate steps
- Works with LCEL (LangChain Expression Language)
- Nested span hierarchy reflects chain structure",Story,High,8,"[EPIC] Python SDK","sdk,python,langchain,auto-instrumentation","Sprint 11"
"Auto-trace LlamaIndex","As a Python developer, I can integrate with LlamaIndex for automatic tracing so that queries are captured.

Acceptance Criteria:
- DucsigrSpanHandler for LlamaIndex
- Traces query engines, retrievers, synthesizers
- Captures retrieved documents
- Captures LLM calls within index
- Works with async operations",Story,Medium,5,"[EPIC] Python SDK","sdk,python,llamaindex,auto-instrumentation","Sprint 11"
"Python SDK documentation","As a Python developer, I can read SDK documentation so that I can integrate quickly.

Acceptance Criteria:
- README with quick start guide
- API reference (Sphinx/MkDocs)
- Code examples for common use cases
- Framework integration guides (LangChain, LlamaIndex)
- Troubleshooting section
- Published to docs site",Story,High,3,"[EPIC] Python SDK","sdk,python,docs,developer-experience","Sprint 11"
"User signup and login","As a user, I can sign up and log in so that I can access my account.

Acceptance Criteria:
- Email/password signup form
- Email verification (optional for MVP)
- Login with email/password
- Password reset flow
- Session management
- Remember me option",Story,Highest,5,"[EPIC] User Management","users,auth,signup,login","Sprint 9"
"Invite team members to project","As a project owner, I can invite team members so that we can collaborate.

Acceptance Criteria:
- Invite by email address
- Email invitation sent with link
- Invitee can accept and join project
- Pending invitations visible
- Can cancel pending invitation
- Limit invitations per project",Story,High,5,"[EPIC] User Management","users,teams,invitations","Sprint 9"
"Assign roles to team members","As an admin, I can assign roles so that permissions are controlled.

Acceptance Criteria:
- Roles: Owner, Admin, Member, Viewer
- Owner: full access, can delete project
- Admin: manage members, settings
- Member: view and create traces
- Viewer: read-only access
- Role changes take effect immediately",Story,High,3,"[EPIC] User Management","users,roles,permissions","Sprint 10"
"Manage user profile settings","As a user, I can manage my profile so that my information is current.

Acceptance Criteria:
- Update display name
- Change password (requires current password)
- Profile picture upload (optional)
- Email preferences
- Delete account option",Story,Medium,2,"[EPIC] User Management","users,profile,settings","Sprint 10"
"Create error rate threshold alerts","As a user, I can create alerts for error rate thresholds so that I'm notified of issues.

Acceptance Criteria:
- Create alert with error rate threshold (e.g., >5%)
- Select time window (5min, 15min, 1hr)
- Choose projects to monitor
- Enable/disable alert
- Test alert button
- Alert history log",Story,Highest,5,"[EPIC] Alerting System","alerting,errors,monitoring","Sprint 11"
"Create latency threshold alerts","As a user, I can create alerts for latency thresholds so that I know about performance issues.

Acceptance Criteria:
- Create alert for P99 latency threshold
- Configurable percentile (P50, P95, P99)
- Time window selection
- Project/trace name filter
- Alert cooldown period
- Severity levels",Story,High,5,"[EPIC] Alerting System","alerting,latency,performance","Sprint 11"
"Receive alerts via email/webhook","As a user, I can receive alerts via email or webhook so that I'm notified through my preferred channel.

Acceptance Criteria:
- Email notifications with alert details
- Webhook POST with JSON payload
- Configure notification channels per alert
- Multiple channels per alert
- Webhook retry on failure
- Unsubscribe link in emails",Story,High,5,"[EPIC] Alerting System","alerting,notifications,email,webhook","Sprint 12"
"View alert history","As a user, I can view alert history so that I can see past incidents.

Acceptance Criteria:
- List of triggered alerts
- Timestamp, alert name, severity
- Triggered value vs. threshold
- Resolution status
- Filter by date range
- Export to CSV",Story,Medium,3,"[EPIC] Alerting System","alerting,history,dashboard","Sprint 12"
"View token usage per project","As a user, I can see token usage per project so that I understand consumption.

Acceptance Criteria:
- Dashboard showing input/output tokens
- Breakdown by model
- Daily/weekly/monthly views
- Comparison to previous period
- Export data option",Story,Highest,5,"[EPIC] Cost Tracking","cost,tokens,analytics","Sprint 13"
"View estimated costs by model","As a user, I can see estimated costs by model so that I understand spending.

Acceptance Criteria:
- Cost calculated using model pricing table
- Configurable pricing overrides
- Cost by model breakdown
- Cost by project breakdown
- Total cost summary
- Currency selection",Story,High,5,"[EPIC] Cost Tracking","cost,models,pricing","Sprint 13"
"Set cost budgets with alerts","As a user, I can set cost budgets so that I don't overspend.

Acceptance Criteria:
- Set monthly budget per project
- Alert at threshold (50%, 80%, 100%)
- Email notification on threshold
- Budget reset on month start
- Budget history tracking",Story,High,5,"[EPIC] Cost Tracking","cost,budgets,alerts","Sprint 14"
"View cost trends over time","As a user, I can view cost trends so that I can forecast spending.

Acceptance Criteria:
- Line chart showing daily costs
- Compare to previous periods
- Trend line projection
- Filter by project/model
- Anomaly highlighting
- Export chart data",Story,Medium,3,"[EPIC] Cost Tracking","cost,trends,charts","Sprint 14"
"Upgrade to Redis Streams","Migrate from Redis LPUSH/BRPOP to Redis Streams for higher throughput.

Technical Requirements:
- Implement Redis Streams producer in Go
- Update worker to use XREADGROUP
- Consumer group management
- Message acknowledgment
- Maintain backward compatibility during migration
- Performance benchmarks",Task,Medium,5,"[EPIC] Infrastructure Scale","infrastructure,redis,queue","Backlog"
"Add Redpanda to infrastructure","Set up Redpanda (Kafka-compatible) for production scale.

Technical Requirements:
- Docker Compose configuration
- Topic creation and configuration
- Partition strategy (by project_id)
- Retention policy configuration
- Monitoring setup",Task,Low,3,"[EPIC] Infrastructure Scale","infrastructure,redpanda,kafka","Backlog"
"Implement Kafka producer in ingest","Add Kafka/Redpanda producer to Go ingest service.

Technical Requirements:
- Implement Producer interface for Kafka
- Configuration-based driver selection
- Batch publishing for efficiency
- Error handling and retries
- Graceful shutdown",Task,Low,5,"[EPIC] Infrastructure Scale","infrastructure,kafka,go,ingest","Backlog"
"Add ClickHouse for analytics","Set up ClickHouse for high-performance analytics queries.

Technical Requirements:
- Docker Compose configuration
- Schema design for traces/spans
- Dual-write from worker
- Migration of analytics queries
- Backup strategy",Task,Low,8,"[EPIC] Infrastructure Scale","infrastructure,clickhouse,analytics","Backlog"
